ID,Area,User Story,Expected Behavior (as implemented),Status,Defects,Defect Type,Evidence,Source References,Open Questions / Notes
OPS-ROUTE-03,Operação & Suporte,As an operator I want /relatorios to query and export XLSX reports,"Relatorios.tsx composes operational/financial/per-customer/demurrage tabs reading B/Ls, invoices, customers and demurrage via src/services/reports.ts; exports generate local XLSX files via src/services/exports.ts (lazy @e965/xlsx import).",Verified,-,-,Vitest: Relatorios.behavior.test.tsx; reports.test.ts; exports.test.ts,src/pages/Relatorios.tsx; src/services/reports.ts; src/services/exports.ts,-
OPS-ROUTE-05,Operação & Suporte,As an operator I want /line-up-tv/display to show a rotating fullscreen Line-Up for the TV,"LineUpTVDisplay.tsx renders outside AppLayout, loads fetchLineUpSnapshot into cache ['lineup-tv-display-v2'], rotates pages on a timer and offers fullscreen; it sits inside the authenticated route group.",Verified,-,-,Vitest: LineUpTVDisplay.cycleStart.test.ts,src/App.tsx; src/pages/LineUpTVDisplay.tsx; src/services/lineup.ts,-
OPS-ROUTE-06,Operação & Suporte,As a user I want unknown routes to land on /painel,The catch-all route in src/App.tsx renders Navigate to /painel with replace; the destination then applies the normal auth guards.,Verified (static),-,-,Static,src/App.tsx,Verified by code read — SQL/trigger/cron/edge or live-DB RLS surface with no executable assertion in this environment (static is the strongest method available).
OPS-RPC-01,Operação & Suporte,As the platform I keep count_distinct_containers available as a dashboard aggregate,"count_distinct_containers() -> bigint (045_count_distinct_containers_fn.sql), STABLE SECURITY INVOKER, PUBLIC revoked, authenticated granted; read-only aggregate. No frontend caller exists in src today.",Verified (static),-,-,Static,supabase/migrations/045_count_distinct_containers_fn.sql; src/types/database.ts,Orphan RPC: decide whether to re-wire Painel to it or drop it in a future migration.
OPS-ACC-01,Operação & Suporte,As the platform I enforce RLS on alerts,010_rls_by_role.sql: active users read/insert/update alerts; only admin deletes; alert writers include overdue detection and portal dispute flows.,Verified (static),-,-,Static,supabase/migrations/010_rls_by_role.sql; src/services/alerts.ts,Verified by code read — SQL/trigger/cron/edge or live-DB RLS surface with no executable assertion in this environment (static is the strongest method available).
OPS-ACC-02,Operação & Suporte,As the platform I enforce append-oriented RLS on audit_logs,"014_lock_down_financial_reads_and_audit_writes.sql: active users read; INSERT requires active profile and changed_by=auth.uid(); UPDATE/DELETE admin-only. audit_logs feeds B/L timeline, voyage timeline and admin observability.",Verified (static),-,-,Static,supabase/migrations/014_lock_down_financial_reads_and_audit_writes.sql,Verified by code read — SQL/trigger/cron/edge or live-DB RLS surface with no executable assertion in this environment (static is the strongest method available).
OPS-TRG-01,Operação & Suporte,As the platform I clean expired legacy portal sessions daily,"pg_cron job cleanup-portal-sessions (03:00 UTC, 041_rls_missing_tables.sql) deletes legacy portal sessions expired for more than one day.",Verified (static),-,-,Static,supabase/migrations/041_rls_missing_tables.sql,Legacy table only; runtime execution of cron not verifiable from repo.
OPS-TRG-02,Operação & Suporte,As the platform I purge provision-rate-limit logs daily,"pg_cron job cleanup-provision-rate-limit (03:30 UTC, 053_security_hardening.sql) removes provision-portal-user rate-limit rows older than 2 days.",Verified (static),-,-,Static,supabase/migrations/053_security_hardening.sql,Runtime execution of cron not verifiable from repo.
VOY-ROUTE-01,Viagens,"As an operator I want /viagens to search, filter, sort and select voyages","Viagens.tsx loads up to 500 voyages via useVoyages plus B/Ls, batches, granito and vazios stats; VoyageFilters filters by vessel/voyage/carrier/port, period, status and reconciliation state; viagensFilters.ts sorts by next ETA; VoyageRail selection navigates to /viagens/:voyageId; rail collapse persisted in localStorage['viagens:rail-collapsed']; admins see Nova Viagem and edit.",Verified,-,-,Vitest: Viagens.behavior.test.tsx; viagensFilters.test.ts; VoyageRail.behavior.test.tsx; voyageForm.test.ts,src/pages/Viagens.tsx; src/lib/viagensFilters.ts; src/components/voyages/VoyageRail.tsx; src/services/voyages.ts,-
VOY-ROUTE-02,Viagens,As an operator I want /viagens/:voyageId as a deep-linkable master-detail voyage page,"Same Viagens.tsx page renders the detail pane for the URL voyage (ADR 0012): overview/import/export/schedules-manifests tabs, POL/POD planning cards, Mercante fields (Número de Escala, CE Master), timeline and Baplie reconciliation entry points; invalid ids fall back to the empty-selection state.",Verified,-,-,Vitest: Viagens.behavior.test.tsx; VoyageSectionCards.test.tsx; voyageTimeline.behavior.test.ts,src/pages/Viagens.tsx; src/services/voyageSummaries.ts; src/services/voyageTimeline.ts,-
VOY-ACT-01,Viagens,As an operator I want to edit POL/POD schedules with an audited trail,Schedule edits via voyageRouteSchedules.ts write audit_logs entries (POD/POL events); the trg_voyage_schedule_snapshot trigger then updates the voyages JSONB snapshots; mutations invalidate voyage caches and Line-Up.,Verified,-,-,Vitest: VoyageScheduleModals.test.tsx; voyageRouteSchedules.test.ts,src/services/voyageRouteSchedules.ts; src/components/shared/VoyageScheduleModals.tsx,-
VOY-ACT-02,Viagens,As an operator I want to maintain export schedules per voyage,voyageExportSchedules.ts upserts/deletes voyage_export_schedules rows feeding the voyage detail and Line-Up; mutations invalidate voyage/TV caches.,Verified,-,-,SQL-contract: rlsHardeningMigration.test.ts,src/services/voyageExportSchedules.ts,-
VOY-ACT-03,Viagens,As an operator I want a voyage timeline so I can audit voyage-level events,voyageTimeline.ts aggregates audit_logs and baplie_reconciliation_resolutions into a humanized voyage timeline with actor names from user_profiles.,Verified,-,-,Vitest: voyageTimeline.behavior.test.ts,src/services/voyageTimeline.ts,-
VOY-ACT-04,Viagens,As an admin I want voyage deletion blocked while dependencies exist,"voyages.ts pre-checks dependencies (B/Ls, manifests, granito, vazios, vehicles) before allowing delete; RLS keeps DELETE admin-only; audited via audit_logs.",Verified,-,-,Vitest: voyageMutations.test.ts,src/services/voyages.ts,-
VOY-ACT-05,Viagens,As an operator I want predictive voyage selection everywhere a voyage is pointed at,"VoyageCombobox (ADR 0018) provides typeahead over vessel/voyage via useVoyageOptions: 'required' mode for imports (mandatory single voyage, no empty option) and 'clearable' mode for list filters (empty = all voyages); context screens pre-seed via initialValue but remain editable.",Verified,-,-,Vitest: VoyageCombobox.test.tsx,src/components/shared/VoyageCombobox.tsx; src/components/ui/Combobox.tsx,-
VOY-RPC-01,Viagens,As an operator I call set_import_batch_ce_master to set the CE Master atomically,set_import_batch_ce_master (145_set_import_batch_ce_master_atomic.sql) updates import_batches.ce_master and audit atomically; caller in voyages.ts invalidates voyage/manifest caches.,Verified,-,-,Vitest: manifestCeMasterAtomic.test.ts,src/services/voyages.ts; supabase/migrations/145_set_import_batch_ce_master_atomic.sql,-
VOY-TRG-01,Viagens,As the platform I snapshot voyage schedules from audit events,trg_voyage_schedule_snapshot AFTER INSERT on audit_logs (POD/POL events) updates voyages JSONB snapshot; 052 fixed JSON null handling so a null new_value does not violate NOT NULL.,Verified (static),-,-,Static,supabase/migrations/046_voyage_schedule_snapshot_trigger.sql; supabase/migrations/052_fix_voyage_snapshot_null_new_value.sql,Verified by code read — SQL/trigger/cron/edge or live-DB RLS surface with no executable assertion in this environment (static is the strongest method available).
VOY-ACC-01,Viagens,As the platform I enforce RLS on voyages/vessels/carriers/voyage_export_schedules,Final state of 010 (+ rls hardening for export schedules): active users read/insert/update; only admin deletes; voyage POD/POL snapshots maintained by trigger.,Verified,-,-,SQL-contract: rlsHardeningMigration.test.ts,supabase/migrations/010_rls_by_role.sql; supabase/migrations/091_harden_remaining_permissive_rls.sql,-
VOY-ROUTE-03,Chegadas-Saídas,As an operator I want /chegadas-saidas to manage the vessel schedule shown in the Portal,"ChegadasSaidas.tsx no longer reads/writes vessel_schedules directly: it manages voyages/portal_ship_schedule via portalScheduleVoyages.ts, portalScheduleBulkImport.ts and voyageFromSchedule.ts, gated by voyages.show_on_portal (setVoyageShowOnPortal). The vessel_schedules/ended_vessels tables and their CRUD services (vesselScheduleAdmin.ts, vesselScheduleImport.ts) remain in the schema/repo but have no current caller from this page; migration 257 closed their USING (true) SELECT policies and removed the dead Portal-session read path (vesselSchedules.ts, useVesselSchedules.ts).",Verified,-,-,Vitest: ChegadasSaidas.behavior.test.tsx,src/pages/ChegadasSaidas.tsx; src/services/portalScheduleVoyages.ts; src/services/portalScheduleBulkImport.ts; src/services/voyageFromSchedule.ts,"Legado sem caller atual: vesselScheduleAdmin.ts, vesselScheduleImport.ts (ver docs/RASTREABILIDADE.md)"
VOY-RPC-02,Chegadas-Saídas,As an operator I call reorder_vessel_schedules to persist display order atomically,reorder_vessel_schedules (135_atomic_vessel_schedule_operations.sql) persists a new display order in one call; requires active user; caller invalidates schedule caches.,Verified,-,-,Vitest: vesselScheduleAdmin.test.ts,src/services/vesselScheduleAdmin.ts; supabase/migrations/135_atomic_vessel_schedule_operations.sql,Legado sem caller atual (nenhuma page importa vesselScheduleAdmin.ts)
VOY-RPC-03,Chegadas-Saídas,As an operator I call archive_vessel_schedule to end a vessel with a snapshot,archive_vessel_schedule (135) snapshots the line into ended_vessels and removes it from vessel_schedules atomically; requires active user.,Verified,-,-,Vitest: vesselScheduleAdmin.test.ts,src/services/vesselScheduleAdmin.ts; supabase/migrations/135_atomic_vessel_schedule_operations.sql,Legado sem caller atual (nenhuma page importa vesselScheduleAdmin.ts)
VOY-ACC-02,Chegadas-Saídas,As the platform I restrict vessel_schedules/ended_vessels reads to active internal users,124_vessel_schedules.sql (+ 139 grants) originally allowed SELECT for any authenticated session (portal-compatible by design) on both tables. The 2026-08-05 security audit found this was the only USING (true) SELECT policy pair in the schema and let the Portal customer session (same authenticated role) bypass the voyages.show_on_portal gate. Migration 257 replaced both SELECT policies with USING (is_active_read_user()). INSERT/UPDATE still require active internal user; DELETE admin; ended_vessels has no UPDATE policy.,Verified (static),-,-,SQL-contract: portalAuthenticatedBoundaryMigration.test.ts,supabase/migrations/124_vessel_schedules.sql; supabase/migrations/139_grant_vessel_schedule_privileges.sql; supabase/migrations/257_portal_authenticated_boundary_hardening.sql,ended_vessels has no UPDATE policy — confirm updates are never needed (archival snapshot is immutable by design). See docs/archive/audits/security-audit-portal-2026-08-05.md.
MAN-ROUTE-01,Manifestos & EDI,As an operator I want /manifestos to list container B/Ls and run the import modals,"Manifestos.tsx lists CNTR B/Ls with pagination, bulk selection, summary cards and filters (text, voyage, POL, POD, review, financial, charges, cargo profile); rows link to /manifestos/:blId; hosts the CNTR manifest modal, the CE Mercante modal and the Importar B/L modal; admin-only bulk delete after fiscal pre-check.",Verified,-,-,Vitest: Manifestos.behavior.test.tsx,src/pages/Manifestos.tsx,-
MAN-RPC-01,Manifestos & EDI,As an operator I import a CNTR manifest transactionally with post-processing,"import_manifest_with_postprocess_transactional (final def in 129_review_gate_hardening.sql; billing step decoupled by 149_remove_billing_from_import_function.sql) imports batch/B/Ls/containers, POL/POD schedules, contacts and the canonical review gate in one transaction; the core import_manifest_transactional rejects duplicate (voyage_id, cargo_mode, file_hash) with 23505 and rate-limits with P0429 (frontend retries once after waiting); SHA-256 computed client-side in manifestImport.ts.",Verified,-,-,Vitest: blParser.test.ts; SQL-contract: manifestImportBillingReasonMigration.test.ts; manifestCeMasterAtomic.test.ts; manifestOverwriteOptInMigration.test.ts,src/services/manifestImport.ts; src/services/blParser.ts; supabase/migrations/129_review_gate_hardening.sql; supabase/migrations/149_remove_billing_from_import_function.sql,-
MAN-RPC-02,Manifestos & EDI,As an operator I import a B/L file to create or correct a B/L (co-primary source),"import_bl_freight_transactional(jsonb, uuid) -> jsonb (162_bl_freight_lines.sql; SECURITY DEFINER; active user; p_changed_by=auth.uid(); PUBLIC/anon revoked): upserts commercial fields, bl_emission_date and bl_freight_lines; preserves omitted fields; audits every change; writes no billing data; blocks physical changes (weight/containers) when charge_calculations or invoice_bls exist unless the operator override flags are set.",Verified,-,-,Vitest: blFreightImport.test.ts; SQL-contract: blFreightLinesMigration.test.ts,src/services/blFreightImport.ts; supabase/migrations/162_bl_freight_lines.sql,-
MAN-ACT-01,Manifestos & EDI,As an operator I want the Importar B/L flow to validate the declared voyage and gate billing-impact changes,"BlImportModal + blParser.ts: operator must declare vessel+voyage via VoyageCombobox (required mode); the parser reads vessel/voyage from the file (A18) and blocks any row diverging from the declared voyage; POL/POD/destination normalized to UN/LOCODE; consignee document/name links the customer; billing-impact changes (container count, shared container, IMO/OOG, breakbulk weight, billed CNPJ) are shown in the preview and applied only with explicit override (audited FATURAMENTO_SOBRESCRITO), otherwise logged as ALTERACAO_OPERACIONAL_BLOQUEADA while other fields still apply (ADR 0017).",Verified,-,-,Vitest: blParser.test.ts; BlImportModal.test.tsx; blFreightImport.test.ts,src/components/shared/BlImportModal.tsx; src/services/blParser.ts; src/services/blFreightImport.ts; docs/adr/0017,-
MAN-RPC-03,Manifestos & EDI,As an operator I update one B/L's CE Mercante with audit,"apply_ce_mercante_update(text,text,uuid) -> text (012_transactional_rpcs.sql; SECURITY INVOKER; caller RLS): updates bls.ce_mercante and audits; returns 'unchanged' when the value is identical.",Verified,-,-,Vitest: ceMercanteImport.test.ts; Integration (not run): supabase.integration.test.ts,src/services/ceMercanteImport.ts; supabase/migrations/012_transactional_rpcs.sql,-
MAN-RPC-04,Manifestos & EDI,As an operator I batch-update CE Mercante from a manifest EDI,"apply_ce_mercante_manifest(jsonb,uuid) -> jsonb (087_apply_ce_mercante_manifest.sql; SECURITY INVOKER): batch-updates bls.ce_mercante with audit; caller invalidates B/L list and detail; single-manifest EDI enforced by parser.",Verified,-,-,Vitest: ceMercanteEdiParser.test.ts; ceMercanteImport.test.ts,src/services/ceMercanteImport.ts; src/services/ceMercanteEdiParser.ts; supabase/migrations/087_apply_ce_mercante_manifest.sql,-
MAN-ROUTE-02,Manifestos & EDI,As an operator I want /manifestos/:blId to edit the B/L and see its history,"BlDetalhe.tsx tabs: Detalhes (useBlEditForm -> save_bl_review with optimistic lock), Faturamento (client/charges/demurrage/invoice sections), Histórico (bl_timeline pages of 50; Auditoria = justified subset); the Importar B/L modal here is scoped to the open B/L; edits invalidate detail/list/voyage caches.",Verified,-,-,Vitest: blTabs.test.tsx; blDetalheHelpers.test.ts; blTimelinePresentation.test.ts,src/pages/BlDetalhe.tsx; src/hooks/useBlEditForm.ts; src/components/bl/,-
MAN-RPC-05,Manifestos & EDI,As an operator I read the humanized B/L timeline,"bl_timeline(p_bl_id text, p_limit int=50, p_offset int=0) -> table (130_bl_timeline_rpc.sql; STABLE SECURITY DEFINER; is_active_user(); PUBLIC/anon revoked): read-only union of bl, bl_container, charge_calculation, invoice (via invoice_bls) and system events for the B/L; excludes global events.",Verified,-,-,Vitest: blTimelinePresentation.test.ts,src/services/blTimeline.ts; supabase/migrations/130_bl_timeline_rpc.sql,-
MAN-ROUTE-03,Manifestos & EDI,As an operator I want /carga-solta to preview and import breakbulk manifests,"CargaSolta.tsx previews and imports BB manifests via import_breakbulk_manifest_transactional (144_import_breakbulk_manifest_transactional.sql; atomic): rejects duplicate file/incompatible cargo mode, creates batch/B/Ls/bl_breakbulk_items and applies the batch review gate; import errors recorded per line in import_errors.",Verified,-,-,Vitest: breakbulkImport.test.ts; breakbulkFixtures.real.test.ts; cargaSoltaRoute.test.ts; SQL-contract: breakbulkImportAtomicMigration.test.ts,src/pages/CargaSolta.tsx; src/services/breakbulkImport.ts; supabase/migrations/144_import_breakbulk_manifest_transactional.sql,-
MAN-TRG-01,Manifestos & EDI,As the platform I reject breakbulk items whose parent B/L is not carga_solta,validate_bl_breakbulk_item_parent() BEFORE INSERT/UPDATE on bl_breakbulk_items (006_breakbulk_module.sql) rejects items whose parent B/L cargo mode is not carga_solta.,Verified (static),-,-,Static,supabase/migrations/006_breakbulk_module.sql,Verified by code read — SQL/trigger/cron/edge or live-DB RLS surface with no executable assertion in this environment (static is the strongest method available).
MAN-ROUTE-04,Manifestos & EDI,As an operator I want /containers to filter containers and import dates/flags,Containers.tsx filters bl_containers; containerDatesImport.ts imports operational dates (audited; ATA propagation per 138_audit_container_dates_and_propagate_ata.sql) and containerFlagsImport.ts imports IMO/OOG/status flags with audit; date changes feed demurrage; container delete is blocked by dependency checks in containers.ts.,Verified,-,-,Vitest: containerDatesImport.test.ts; containers.delete.test.ts; SQL-contract: containerDateAuditMigration.test.ts; containerNumberGuardMigration.test.ts,src/pages/Containers.tsx; src/services/containerDatesImport.ts; src/services/containers.ts,-
MAN-ROUTE-05,Manifestos & EDI,As an operator I want /veiculos to import and delete RoRo vehicles in a controlled way,Veiculos.tsx imports vehicle spreadsheets via import_vehicle_rows_transactional(jsonb) (final ACL in 109_fix_anon_executable_import_rpcs.sql; active user; atomic); relationships validated by trigger; controlled delete recalculates charges and may call cancel_invoice to release an exempt B/L.,Verified,-,-,Vitest: vehicleImport.test.ts; vehicles.delete.test.ts,src/pages/Veiculos.tsx; src/services/vehicleImport.ts; src/services/vehicles.ts,-
MAN-TRG-02,Manifestos & EDI,As the platform I validate vehicle relationships on write,validate_vehicle_relationships() BEFORE INSERT/UPDATE on vehicles (004_vehicles.sql; search_path fixed later) normalizes fields and rejects incoherent voyage/B/L/container combinations.,Verified (static),-,-,Static,supabase/migrations/004_vehicles.sql,Verified by code read — SQL/trigger/cron/edge or live-DB RLS surface with no executable assertion in this environment (static is the strongest method available).
MAN-ROUTE-06,Manifestos & EDI,As an operator I want /baplie to import staging and resolve divergences against the manifest,"Baplie.tsx imports EDI into per-voyage staging via import_baplie_staging_transactional(bigint,jsonb) (109; DEFINER; active+admin; atomically replaces the voyage staging); baplieReconciliation.ts compares container_number+voyage_id: existence divergences are warnings, attribute divergences (IMO/OOG/status) are operator-resolved and persisted in baplie_reconciliation_resolutions; commercial fields never overwritten by Baplie.",Verified,-,-,Vitest: baplieReconciliation.test.ts; baplieInvalidation.test.ts,src/pages/Baplie.tsx; src/services/baplieImport.ts; src/services/baplieReconciliation.ts; supabase/migrations/109_fix_anon_executable_import_rpcs.sql,-
MAN-RPC-06,Manifestos & EDI,As an operator I delete the Baplie manifest of a voyage in a scoped way,delete_baplie_manifest_for_voyage(bigint) -> integer (097_vazios_importacao_delete_admin_only.sql; SECURITY DEFINER; search_path=''; is_active_user()): deletes only the source='baplie' manifest of the voyage; containers fall by cascade; used by the vazios reimport flow.,Verified,-,-,Vitest: vaziosImportacaoImport.test.ts,src/services/vaziosImportacaoImport.ts; supabase/migrations/097_vazios_importacao_delete_admin_only.sql,-
MAN-ROUTE-07,Manifestos & EDI,As an operator I want /vazios-importacao to import empties from spreadsheet or Baplie,VaziosImportacao.tsx imports via import_vazios_importacao_transactional and replace_vazios_from_baplie_transactional (146_import_vazios_transactional.sql; atomic; active user); reimport respects manifest/source; per-voyage manifest removal available; stats via useVaziosImportacaoStats.,Verified,-,-,Vitest: vaziosImportacaoImport.test.ts; vaziosImportsAtomic.test.ts,src/pages/VaziosImportacao.tsx; src/services/vaziosImportacaoImport.ts; supabase/migrations/146_import_vazios_transactional.sql,-
MAN-ROUTE-08,Manifestos & EDI,As an operator I want /embarquevazios to import export-empties bookings,EmbarqueVazios.tsx imports bookings via import_vazios_bookings_transactional (146; atomic; active user); import bounded per file and voyage; filters over vazios_bookings.,Verified,-,-,Vitest: vaziosImportsAtomic.test.ts,src/pages/EmbarqueVazios.tsx; src/services/vaziosImport.ts; supabase/migrations/146_import_vazios_transactional.sql,-
MAN-ROUTE-09,Manifestos & EDI,As a user I want legacy /vazios to redirect to /embarquevazios,src/App.tsx renders Navigate to /embarquevazios with replace.,Verified (static),-,-,Static,src/App.tsx,Redirect de uma linha em src/App.tsx; sem teste dedicado apos a remocao de VaziosRedirect.test.tsx.
MAN-ACT-03,Manifestos & EDI,As an admin I want B/L deletion blocked by fiscal dependencies,"bls.ts delete flow pre-checks invoices, invoice links, receivables and issued demurrage; blocked items are reported while deletable ones proceed bottom-up; deletions audited best-effort via deleteAudit.ts (ADR 0009).",Verified,-,-,Vitest: bls.delete.test.ts; deleteAudit.test.ts,src/services/bls.ts; src/services/deleteDependencies.ts; src/services/deleteAudit.ts,-
MAN-ACT-04,Manifestos & EDI,As the platform I limit upload size before parsing spreadsheets/EDI,"importCore.ts e lib/fileGuard.ts (assertUploadSize, MAX_UPLOAD_BYTES = 10 MiB) impoem o tamanho maximo antes de ler buffers ou chamar XLSX.read, para todo arquivo de importacao nao confiavel (regra do ADR 0005).",Verified,-,-,Vitest: importCore.test.ts; uploadLimits.test.ts,src/services/importCore.ts; src/lib/fileGuard.ts,-
MAN-ACC-01,Manifestos & EDI,As the platform I enforce RLS on the B/L family tables,"Final state of 010: bls, bl_containers, bl_breakbulk_items — active users read/insert/update; admin deletes. bls carries review gate, promotion and billing guards via triggers; bl_containers delete additionally blocked by service-level dependency checks.",Verified (static),-,-,Static,supabase/migrations/010_rls_by_role.sql,Verified by code read — SQL/trigger/cron/edge or live-DB RLS surface with no executable assertion in this environment (static is the strongest method available).
MAN-ACC-02,Manifestos & EDI,As the platform I enforce RLS on bl_freight_lines,162_bl_freight_lines.sql: active users read/insert/update; admin deletes; the importer writes through the transactional RPC; lines cascade with the B/L; source of Frete & Despesas for preview and Mercante EDI C5.,Verified,-,-,SQL-contract: blFreightLinesMigration.test.ts,supabase/migrations/162_bl_freight_lines.sql,-
MAN-ACC-03,Manifestos & EDI,As the platform I enforce RLS on Baplie staging and import tables,Baplie staging/resolutions (rls hardening): active read/insert/update; admin delete. import_batches/import_errors (010): active read/insert/update; admin delete. vazios_* tables (042 + later fix removing stale permissive policies): active read/insert/update; admin delete. vehicles (010): active r/i/u; admin delete.,Verified,-,-,SQL-contract: rlsHardeningMigration.test.ts,supabase/migrations/042_rls_module_hardening.sql; supabase/migrations/091_harden_remaining_permissive_rls.sql,-
TL-ROUTE-01,Taxas Locais,"As an admin I want /taxas-locais/tabelas to manage charge tables, items and customer overrides",TaxasLocaisTabelas.tsx requires UI capabilities charge_tables/charge_overrides (useAuth); CRUD via chargeTableService.ts and chargeRateService.ts over charge_tables/charge_table_items/customer_rate_overrides (all admin-only at RLS); mutations invalidate queryKeys.charges.* families; table validity gates ready_for_billing.,Verified,-,-,Vitest: TaxasLocaisTabelas.test.ts; chargeRateService.test.ts; taxasLocaisHelpers.test.ts,src/pages/TaxasLocaisTabelas.tsx; src/services/charges/chargeTableService.ts; src/services/charges/chargeRateService.ts,-
TL-ROUTE-02,Revisão,As an operator I want /revisao to fix pendencies grouped by customer and trigger auto-billing,"Revisao.tsx via useReview/review.ts shows the queue of bls+granite_bls pendencies grouped by customer (CNPJ); inline editors fix link/email/portal provisioning in batch; corrections go through save_bl_review which recomputes the canonical gate; when the canonical pendency list is empty, reviewBillingAutomation.ts attempts calculate_bl_local_charges + mark_bl_ready_and_create_invoice.",Verified,-,-,Vitest: Revisao.test.tsx; ReviewInlineEditors.test.tsx; useReview.test.ts; review.test.ts; reviewBillingAutomation.test.ts; revisaoHelpers.test.ts,src/pages/Revisao.tsx; src/hooks/useReview.ts; src/services/review.ts; src/services/reviewBillingAutomation.ts,-
